score	jaccard	support	nameMatch	descMatch	lostSymbol	gainedSymbol
1.111	0.556	40	true	false	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;)V	net/neoforged/neoforge/common/data/BlockTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/neoforged/neoforge/common/data/ExistingFileHelper;)V
1.102	0.424	50	true	true	net/minecraftforge/common/ForgeConfigSpec$BooleanValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$ConfigValue#get()Ljava/lang/Object;
1.102	0.689	42	false	true	net/minecraft/world/inventory/CraftingContainer#getContainerSize()I	net/minecraft/world/item/crafting/CraftingInput#size()I
1.101	0.551	38	true	false	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;)V	net/minecraft/data/tags/ItemTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/neoforged/neoforge/common/data/ExistingFileHelper;)V
1.096	0.548	40	true	false	net/minecraft/data/tags/ItemTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/minecraftforge/common/data/ExistingFileHelper;)V	net/minecraft/data/loot/LootTableProvider$SubProviderEntry#<init>(Ljava/util/function/Function;Lnet/minecraft/world/level/storage/loot/parameters/LootContextParamSet;)V
1.093	0.420	37	true	true	net/minecraftforge/common/ForgeConfigSpec$IntValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$DoubleValue#get()Ljava/lang/Object;
1.090	0.419	39	true	true	net/minecraftforge/fml/event/lifecycle/FMLCommonSetupEvent#enqueueWork(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;	net/neoforged/fml/event/lifecycle/FMLClientSetupEvent#enqueueWork(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;
1.089	0.544	43	true	false	net/minecraft/data/recipes/RecipeProvider#<init>(Lnet/minecraft/data/PackOutput;)V	net/minecraft/data/loot/LootTableProvider$SubProviderEntry#<init>(Ljava/util/function/Function;Lnet/minecraft/world/level/storage/loot/parameters/LootContextParamSet;)V
1.079	0.539	48	true	false	net/minecraft/world/level/block/entity/BlockEntity#getCapability(Lnet/minecraftforge/common/capabilities/Capability;Lnet/minecraft/core/Direction;)Lnet/minecraftforge/common/util/LazyOptional;	net/minecraft/world/level/Level#getCapability(Lnet/neoforged/neoforge/capabilities/BlockCapability;Lnet/minecraft/core/BlockPos;Ljava/lang/Object;)Ljava/lang/Object;
1.069	0.411	37	true	true	net/minecraftforge/common/ForgeConfigSpec$DoubleValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$IntValue#get()Ljava/lang/Object;
1.065	0.532	33	true	false	net/minecraft/data/loot/LootTableProvider$SubProviderEntry#<init>(Ljava/util/function/Supplier;Lnet/minecraft/world/level/storage/loot/parameters/LootContextParamSet;)V	net/neoforged/neoforge/client/model/generators/BlockStateProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/lang/String;Lnet/neoforged/neoforge/common/data/ExistingFileHelper;)V
1.063	0.531	34	true	false	net/minecraftforge/items/ItemStackHandler#<init>(I)V	net/neoforged/neoforge/items/SlotItemHandler#<init>(Lnet/neoforged/neoforge/items/IItemHandler;III)V
1.059	0.529	36	true	false	net/minecraft/data/loot/BlockLootSubProvider#<init>(Ljava/util/Set;Lnet/minecraft/world/flag/FeatureFlagSet;)V	net/minecraft/data/loot/LootTableProvider$SubProviderEntry#<init>(Ljava/util/function/Function;Lnet/minecraft/world/level/storage/loot/parameters/LootContextParamSet;)V
1.057	0.529	129	true	false	net/minecraftforge/fml/javafmlmod/FMLJavaModLoadingContext#get()Lnet/minecraftforge/fml/javafmlmod/FMLJavaModLoadingContext;	net/neoforged/neoforge/registries/DeferredHolder#get()Ljava/lang/Object;
1.057	0.407	50	true	true	net/minecraftforge/common/ForgeConfigSpec$ConfigValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$BooleanValue#get()Ljava/lang/Object;
1.052	0.657	71	false	true	net/minecraft/world/item/ItemStack#isSameItemSameTags(Lnet/minecraft/world/item/ItemStack;Lnet/minecraft/world/item/ItemStack;)Z	net/minecraft/world/item/ItemStack#isSameItemSameComponents(Lnet/minecraft/world/item/ItemStack;Lnet/minecraft/world/item/ItemStack;)Z
1.052	0.404	36	true	true	net/minecraftforge/common/ForgeConfigSpec$BooleanValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$DoubleValue#get()Ljava/lang/Object;
1.050	0.525	42	true	false	net/minecraft/data/loot/LootTableProvider$SubProviderEntry#<init>(Ljava/util/function/Supplier;Lnet/minecraft/world/level/storage/loot/parameters/LootContextParamSet;)V	net/minecraft/data/recipes/RecipeProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;)V
1.049	0.525	32	true	false	net/minecraftforge/common/data/BlockTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/minecraftforge/common/data/ExistingFileHelper;)V	net/neoforged/neoforge/client/model/generators/BlockStateProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/lang/String;Lnet/neoforged/neoforge/common/data/ExistingFileHelper;)V
1.046	0.523	34	true	false	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;)V	net/minecraft/data/loot/BlockLootSubProvider#<init>(Ljava/util/Set;Lnet/minecraft/world/flag/FeatureFlagSet;Lnet/minecraft/core/HolderLookup$Provider;)V
1.046	0.523	57	true	false	net/minecraft/network/FriendlyByteBuf#writeBoolean(Z)Lio/netty/buffer/ByteBuf;	net/minecraft/network/RegistryFriendlyByteBuf#writeBoolean(Z)Lnet/minecraft/network/FriendlyByteBuf;
1.044	0.522	130	true	false	net/minecraft/resources/ResourceLocation#<init>(Ljava/lang/String;Ljava/lang/String;)V	net/neoforged/neoforge/common/ModConfigSpec$Builder#<init>()V
1.029	0.396	36	true	true	net/minecraftforge/fml/event/lifecycle/FMLClientSetupEvent#enqueueWork(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;	net/neoforged/fml/event/lifecycle/FMLCommonSetupEvent#enqueueWork(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;
1.019	0.509	110	true	false	net/minecraftforge/fml/ModLoadingContext#get()Lnet/minecraftforge/fml/ModLoadingContext;	net/neoforged/fml/ModList#get()Lnet/neoforged/fml/ModList;
1.016	0.635	40	false	true	net/minecraftforge/fluids/capability/IFluidHandler$FluidAction#SIMULATE:Lnet/minecraftforge/fluids/capability/IFluidHandler$FluidAction;	net/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction#EXECUTE:Lnet/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction;
1.015	0.508	33	true	false	net/minecraftforge/client/model/generators/BlockStateProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/lang/String;Lnet/minecraftforge/common/data/ExistingFileHelper;)V	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;Ljava/util/concurrent/CompletableFuture;)V
1.014	0.507	36	true	false	net/minecraft/data/tags/ItemTagsProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/concurrent/CompletableFuture;Ljava/util/concurrent/CompletableFuture;Ljava/lang/String;Lnet/minecraftforge/common/data/ExistingFileHelper;)V	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;Ljava/util/concurrent/CompletableFuture;)V
1.013	0.506	39	true	false	net/minecraft/data/recipes/RecipeProvider#<init>(Lnet/minecraft/data/PackOutput;)V	net/minecraft/data/loot/LootTableProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/util/Set;Ljava/util/List;Ljava/util/concurrent/CompletableFuture;)V
1.012	0.632	43	false	true	net/minecraftforge/data/event/GatherDataEvent#includeServer()Z	net/neoforged/neoforge/data/event/GatherDataEvent#includeClient()Z
1.005	0.502	104	true	false	net/minecraftforge/registries/RegistryObject#get()Ljava/lang/Object;	net/neoforged/fml/ModList#get()Lnet/neoforged/fml/ModList;
1.000	0.500	67	true	false	net/minecraftforge/registries/DeferredRegister#create(Lnet/minecraft/resources/ResourceKey;Ljava/lang/String;)Lnet/minecraftforge/registries/DeferredRegister;	net/neoforged/neoforge/registries/DeferredRegister#create(Lnet/minecraft/core/Registry;Ljava/lang/String;)Lnet/neoforged/neoforge/registries/DeferredRegister;
