side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
target	herbsandharvest	Mama's Herbs and Harvest	1.21.1-17	NEOFORGE	MODERATE	205	0	95	0	0	true	false	0	17352	herbsandharvest-1.21.1-17.jar
target	heyberryshutup	Hey Berry! SHUT UP	1.21.0-2.0.4	NEOFORGE	TRIVIAL	4	0	4	0	0	false	false	0	6	heyberryshutup-1.21.0-2.0.4.jar
target	hostilenetworks	Hostile Neural Networks	6.5.1	NEOFORGE	NIGHTMARE	112	0	34	1	1	true	true	0	479	HostileNeuralNetworks-1.21.1-6.5.1.jar
target	iceandfire	Ice And Fire Community Edition	2.0-beta.17	NEOFORGE	HARD	717	0	236	1	9	true	false	1	20360	iceandfire-2.0-beta.17.jar
target	iceberg	Iceberg	1.3.2	NEOFORGE	HARD	126	0	16	2	24	true	false	0	208	Iceberg-1.21.1-neoforge-1.3.2.jar
target	illagerwarship	Illager-Warship	1.0.1	NEOFORGE	TRIVIAL	2	0	2	0	0	false	false	0	69	illagerwarship-1.0.1-neoforge-1.21.1.jar
target	imfast	I'm Fast	1.0.2	NEOFORGE	HARD	1	0	0	1	1	false	false	0	4	imfast-NEOFORGE-1.0.2.jar
target	immediatelyfast	ImmediatelyFast	1.6.11+1.21.1	NEOFORGE	NIGHTMARE	75	0	5	2	37	true	false	0	353	ImmediatelyFast-NeoForge-1.6.11+1.21.1.jar
target	immeng	Immersive Energistics	1.1.0-beta	NEOFORGE	TRIVIAL	11	0	8	0	0	false	false	0	39	Immersive-Energistics-1.1.0-beta.jar
target	immersiveengineering	Immersive Engineering	12.4.2-194	NEOFORGE	NIGHTMARE	1841	0	720	1	50	false	false	2	13898	ImmersiveEngineering-1.21.1-12.4.2-194.jar
target	incontrol	InControl	1.21-10.2.6	NEOFORGE	TRIVIAL	144	0	42	0	0	false	false	0	339	incontrol-1.21-10.2.6.jar
